"Channel 452"	"Channel 523"	"Channel 594"	"Channel 676"	"X (pixel)"	"Y (pixel)"	"X (microns)"	"Y (microns)"	"X__1"
121	0	3481	0	597	341	65.1924	37.2372	NA
123	0	4250	0	598	340	65.3016	37.128	NA
118	0	2776	0	599	340	65.4108	37.128	NA
0	0	2273	0	600	339	65.52	37.0188	NA
120	0	1619	0	601	338	65.6292	36.9096	NA
0	0	1175	241	602	338	65.7384	36.9096	NA
120	0	606	590	603	337	65.8476	36.8004	NA
122	0	572	503	604	337	65.9568	36.8004	NA
121	0	474	283	605	336	66.066	36.6912	NA
123	0	491	193	606	336	66.1752	36.6912	NA
121	0	442	329	607	335	66.2844	36.582	NA
118	0	519	441	608	334	66.3936	36.4728	NA
0	0	330	295	609	334	66.5028	36.4728	NA
120	0	202	264	610	333	66.612	36.3636	NA
121	0	247	0	611	333	66.7212	36.3636	NA
124	0	260	0	612	332	66.8304	36.2544	NA
119	172	261	0	613	331	66.9396	36.1452	NA
123	211	260	0	614	331	67.0488	36.1452	NA
125	241	213	0	615	330	67.158	36.036	NA
120	193	316	0	616	330	67.2672	36.036	NA
124	178	581	0	617	329	67.3764	35.9268	NA
126	181	825	0	618	328	67.4856	35.8176	NA
130	193	1181	259	619	328	67.5948	35.8176	NA
123	239	1407	486	620	327	67.704	35.7084	NA
130	301	3416	1477	621	327	67.8132	35.7084	NA
136	253	4808	1217	622	326	67.9224	35.5992	NA
134	184	6031	629	623	325	68.0316	35.49	NA
129	0	7205	591	624	325	68.1408	35.49	NA
119	0	5993	385	625	324	68.25	35.3808	NA
0	0	4152	329	626	324	68.3592	35.3808	NA
124	0	2225	228	627	323	68.4684	35.2716	NA
118	0	973	532	628	322	68.5776	35.1624	NA
123	0	967	493	629	322	68.6868	35.1624	NA
118	0	716	0	630	321	68.796	35.0532	NA
121	165	499	0	631	321	68.9052	35.0532	NA
119	0	272	0	632	320	69.0144	34.944	NA
119	0	302	259	633	319	69.1236	34.8348	NA
123	0	391	0	634	319	69.2328	34.8348	NA
126	0	347	0	635	318	69.342	34.7256	NA
127	0	389	0	636	318	69.4512	34.7256	NA
0	0	382	0	637	317	69.5604	34.6164	NA
0	0	286	0	638	316	69.6696	34.5072	NA
118	0	340	0	639	316	69.7788	34.5072	NA
123	0	1013	0	640	315	69.888	34.398	NA
118	0	909	253	641	315	69.9972	34.398	NA
119	0	544	570	642	314	70.1064	34.2888	NA
0	0	0	374	643	314	70.2156	34.2888	NA
121	0	157	242	644	313	70.3248	34.1796	NA
125	0	332	0	645	312	70.434	34.0704	NA
121	0	411	0	646	312	70.5432	34.0704	NA
126	0	1005	0	647	311	70.6524	33.9612	NA
131	0	3958	198	648	311	70.7616	33.9612	NA
123	0	13044	306	649	310	70.8708	33.852	NA
124	0	9008	209	650	309	70.98	33.7428	NA
136	0	2529	196	651	309	71.0892	33.7428	NA
125	0	856	0	652	308	71.1984	33.6336	NA
120	0	506	0	653	308	71.3076	33.6336	NA
119	0	364	0	654	307	71.4168	33.5244	NA
118	0	0	0	655	306	71.526	33.4152	NA
119	0	0	0	656	306	71.6352	33.4152	NA
124	0	0	0	657	305	71.7444	33.306	NA
